"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"02/18/2016 09:01:54:816 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"3","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","58417.331691843036"
"4","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","82064.97266524551"
"2","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","67454.72089869343"
"5","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","129453.92331689844"
"6","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","80455.41588783989"
"7","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","62156.317319383066"
"1","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","43513.85697595404"
"8","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","127858.14307970545"
"10","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","34292.51625174227"
"9","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","94801.35512588781"
"12","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","90624.90662202628"
"13","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","60921.75030578898"
"14","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","58657.16802914761"
"16","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","99977.44416062655"
"15","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","94132.13074575993"
"17","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","80393.5764476198"
"18","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","52857.720985854416"
"19","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","65514.97026058026"
"20","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","101566.19677995065"
"21","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","68664.23548307162"
"22","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","102719.07837193708"
"11","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","54521.91940516251"
"23","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","60662.46055234234"
"25","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","71352.91341142915"
"24","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","62831.81284789246"
"26","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","98765.54156570436"
"27","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","79410.38242551465"
"29","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","69087.4892084799"
"28","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","78679.91059649421"
"30","0.1","""red""","""radius""","0.01","""exp utility""","10","0","25","24","46193.743175546035"
"31","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","134327.57041771378"
"32","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","142796.26193778747"
"33","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","132915.2180278005"
"36","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","142650.2624144061"
"34","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","131915.06451363058"
"35","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","128335.17997655831"
"37","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","98115.79372071444"
"38","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","133795.62104423466"
"39","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","131384.07305495488"
"41","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","172839.58535782533"
"42","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","148133.52700061203"
"40","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","129910.12108582487"
"43","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","148146.22047520257"
"45","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","127871.2867152562"
"44","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","103165.73877290676"
"47","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","130891.37627580669"
"46","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","107127.77970561292"
"48","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","159447.2517460202"
"49","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","170055.98653867267"
"50","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","180018.6085839624"
"51","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","160108.0581152601"
"52","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","136683.09230073766"
"53","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","173833.6643304615"
"54","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","135216.00575505916"
"55","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","186870.06054835272"
"57","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","138520.77758670482"
"58","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","154285.3651164903"
"56","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","114732.85410817848"
"59","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","108041.64608984844"
"60","0.1","""red""","""radius""","0.01","""exp utility""","10","1","25","24","91978.28446394569"
"61","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","122015.53316873133"
"63","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","197130.29550494888"
"62","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","167097.19006763602"
"64","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","155299.1112214771"
"65","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","164527.77114728693"
"66","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","188576.4736285095"
"67","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","164146.11359776134"
"68","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","149676.20993707908"
"69","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","119905.66835479901"
"70","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","189565.8913783377"
"71","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","132137.01885195242"
"72","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","172707.0448880272"
"73","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","167861.17721603782"
"74","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","154192.93794995773"
"75","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","156395.60765912864"
"76","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","146427.4170485419"
"77","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","142192.6972903842"
"78","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","176231.38984138428"
"79","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","155147.30867582548"
"81","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","167626.78856300688"
"80","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","144532.89472834414"
"82","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","137399.38920183523"
"83","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","158374.28125063571"
"84","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","166522.28959422055"
"86","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","156572.9920793228"
"85","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","131560.76490917156"
"88","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","161944.8113713362"
"87","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","206264.64237473003"
"89","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","189336.6952144904"
"90","0.1","""red""","""radius""","0.01","""exp utility""","10","2","25","24","183191.66781378986"
"92","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","188828.86460086057"
"93","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","155479.71389110517"
"94","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","165799.6732338994"
"91","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","181784.65243425503"
"96","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","184619.0506828783"
"95","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","186393.92512877582"
"98","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","201712.76015476737"
"97","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","180191.2502275316"
"99","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","193687.9474814203"
"102","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","173307.3767973992"
"100","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","186439.8207541191"
"101","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","200759.77179667557"
"103","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","177085.20285895618"
"104","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","200192.68819040316"
"105","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","142974.32834238635"
"106","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","170996.32805920573"
"108","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","183110.08234030847"
"107","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","211305.54782007093"
"109","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","188175.92220766415"
"110","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","189869.8589232841"
"111","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","152881.28688442303"
"112","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","156726.39295713435"
"113","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","175592.86919995875"
"114","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","160537.25467141767"
"117","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","203305.4828786011"
"115","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","193029.98370632136"
"116","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","192859.36977500882"
"119","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","176408.01625703854"
"121","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","201453.47536338048"
"118","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","147234.01583697426"
"120","0.1","""red""","""radius""","0.01","""exp utility""","10","3","25","24","202421.81400092648"
"122","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","171996.1573158429"
"123","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","171771.74297176948"
"124","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","204761.9385216951"
"125","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","169325.06636819735"
"126","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","160242.54973699612"
"127","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","190656.4062274004"
"128","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","210322.06536505613"
"129","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","130611.69310768197"
"130","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","150758.34858347508"
"131","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","164810.85025073902"
"133","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","229361.27130817584"
"132","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","206713.55344076615"
"134","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","197983.41614293124"
"136","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","182374.71618705496"
"135","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","220794.659015509"
"138","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","193927.51494284283"
"137","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","148205.93425897555"
"139","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","200961.89332837862"
"140","0.1","""red""","""radius""","0.01","""exp utility""","10","4","25","24","188803.1184290548"
