"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision"
"02/18/2016 02:20:55:036 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5375.289631318676"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5437.379180794503"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","4885.030772430594"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10662.386902697233"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10942.515869434423"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","15930.258815208466"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","9247.069696530967"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","16264.757521776708"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","13642.087649180352"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","20586.939131337927"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","21123.780972833134"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5393.525000765875"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","25080.52535549847"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","24149.108416446586"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10461.885538336743"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","17113.1348314108"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","29193.391821913734"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","29058.266891276762"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","21586.48505272776"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","31374.645338851155"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","15230.567782398479"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","32696.49823303774"
