"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"2","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","76407.29250130164","213.11191724533808"
"3","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","92110.04003064246","162.60425307983164"
"4","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","91034.79227170763","94.48865655545414"
"5","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","90047.68156093506","186.52971374871942"
"6","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","86979.85828190963","97.16325220919629"
"7","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","89957.39206291501","153.72493469792065"
"8","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","89765.76935049304","0.0821509027064024"
"9","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","97735.69469274116","137.01691843436583"
"10","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","90956.44217402846","232.33360530616972"
"11","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","80713.01852873998","342.22234918358606"
"12","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","86511.92809470854","131.22231728415605"
"13","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","88356.28639597267","129.3946124697533"
"14","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","82392.11403740241","272.56616036696295"
"15","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","83812.83514149842","171.8412651037939"
"17","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","86224.88463943105","58.57347890498895"
"18","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","91608.5927780779","133.93073013343533"
"19","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","81640.57940759644","113.63604478582411"
"16","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","76785.07556946347","108.40602836912201"
"20","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","86463.78199975166","80.84993784342726"
"22","0.1","""exp utility""","0.01","0.01","10","""neighbors""","1","25","100","1","""wealth""","24","74932.85726849287","283.1998854081383"
