"BehaviorSpace results (NetLogo 5.3)"
"ButterflyModel_Ch4.nlogo"
"my-experiment"
"01/26/2016 09:21:15:427 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","[step]","corridor-width"
"2","0","999","228.53951735602334"
"3","0","999","210.1155775586336"
"4","0","999","200.7006009650754"
"1","0","999","200.7749757990558"
"5","0","999","211.86210528360124"
"6","0","999","215.72720367921585"
"7","0","999","197.1724379407221"
"8","0","999","230.68231222776066"
"9","0","999","222.70762824844635"
"11","0.1","999","81.5518197022345"
"10","0","999","200.98160184509817"
"14","0.1","999","75.76922300720521"
"12","0.1","999","71.1218618671026"
"13","0.1","999","76.38520598662467"
"15","0.1","999","78.73713312277039"
"16","0.1","999","81.96739600668174"
"19","0.1","999","75.37358697053045"
"18","0.1","999","80.24611121666075"
"17","0.1","999","91.1871482375266"
"22","0.2","999","47.65354707457606"
"21","0.2","999","45.8264189733922"
"23","0.2","999","48.60648830861458"
"20","0.1","999","85.68458157352661"
"24","0.2","999","47.97700316261972"
"25","0.2","999","44.68782507338198"
"27","0.2","999","44.97160297532882"
"26","0.2","999","45.66084729491394"
"28","0.2","999","48.3789468988585"
"29","0.2","999","48.41977049569597"
"30","0.2","999","46.933337306082834"
"32","0.3","999","31.87517314332287"
"33","0.3","999","34.73494170154437"
"31","0.3","999","35.62761765713198"
"34","0.3","999","30.451359165039428"
"35","0.3","999","33.823509176524475"
"36","0.3","999","35.74736904198451"
"38","0.3","999","34.348895120701535"
"39","0.3","999","36.685408370704316"
"37","0.3","999","31.853860859971228"
"40","0.3","999","35.61228735693529"
"41","0.4","999","27.11885496274583"
"42","0.4","999","25.39962431621387"
"44","0.4","999","24.89086780498442"
"45","0.4","999","25.80416895833787"
"43","0.4","999","25.955276863494365"
"46","0.4","999","25.746376866605868"
"48","0.4","999","23.91929730163008"
"47","0.4","999","26.605962936423282"
"49","0.4","999","26.136081332268173"
"50","0.4","999","23.66624836474506"
"51","0.5","999","20.461964059642085"
"54","0.5","999","20.478995489747856"
"52","0.5","999","23.046041881861818"
"53","0.5","999","19.997306915806274"
"55","0.5","999","19.849630758260766"
"57","0.5","999","21.315459494619972"
"56","0.5","999","19.617332143020505"
"59","0.5","999","21.336307518048546"
"58","0.5","999","21.29638580324189"
"61","0.6","999","16.699737848933765"
"60","0.5","999","21.14214015439109"
"62","0.6","999","17.245338472092087"
"64","0.6","999","16.913273126289422"
"65","0.6","999","16.39019772140983"
"66","0.6","999","15.26826935605935"
"63","0.6","999","16.771156496507697"
"67","0.6","999","16.52199146889977"
"68","0.6","999","15.716450463296544"
"69","0.6","999","17.604466772034584"
"71","0.7","999","13.738212555111057"
"70","0.6","999","17.34809104234476"
"72","0.7","999","14.254878382758257"
"73","0.7","999","14.14987007054641"
"74","0.7","999","13.29711386580624"
"76","0.7","999","13.476996908297284"
"77","0.7","999","13.53411683339566"
"75","0.7","999","13.734078723078596"
"78","0.7","999","13.21581160145299"
"79","0.7","999","13.586227402522383"
"81","0.8","999","11.635096880494885"
"80","0.7","999","13.007288702287491"
"82","0.8","999","11.329771533966882"
"83","0.8","999","12.342294392354592"
"85","0.8","999","11.384552303583648"
"84","0.8","999","9.587941750073737"
"86","0.8","999","9.779490873163315"
"87","0.8","999","10.004484225689303"
"88","0.8","999","10.248366326424621"
"89","0.8","999","10.43571199403798"
"90","0.8","999","11.23656356382838"
"91","0.9","999","7.484304239665802"
"92","0.9","999","7.600240060520764"
"94","0.9","999","6.986929549307853"
"95","0.9","999","7.55264634279254"
"93","0.9","999","8.007561507913891"
"96","0.9","999","7.473274257036482"
"97","0.9","999","8.117345001347335"
"98","0.9","999","7.576188667924179"
"101","1","999","0.7633862853691139"
"99","0.9","999","7.985062342066119"
"102","1","999","0.7633862853691139"
"100","0.9","999","7.239469171571993"
"103","1","999","0.7633862853691139"
"105","1","999","0.7633862853691139"
"104","1","999","0.7633862853691139"
"107","1","999","0.7633862853691139"
"106","1","999","0.7633862853691139"
"108","1","999","0.7633862853691139"
"109","1","999","0.7633862853691139"
"110","1","999","0.7633862853691139"
