"BehaviorSpace results (NetLogo 5.3)"
"Flocking.nlogo"
"experiment"
"02/10/2016 23:22:21:473 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-separate-turn","population","max-align-turn","max-cohere-turn","vision","minimum-separation","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"1","1.5","300","5","3","3","1","0","0","0","2.034377964306648","106.52040090165698"
"4","1.5","300","5","3","3","1","0","0","0","2.0339866536121547","100.3142559928892"
"1","1.5","300","5","3","3","1","1","245","1.6466666666666667","2.0524316493894657","107.1790997219576"
"4","1.5","300","5","3","3","1","1","243","1.54","2.0114143513384994","99.75515526376252"
"3","1.5","300","5","3","3","1","0","0","0","2.0188230493101558","108.83686891708376"
"4","1.5","300","5","3","3","1","2","246","1.6666666666666667","1.9318981834289453","99.82114727929648"
"1","1.5","300","5","3","3","1","2","246","1.6333333333333333","2.045083877256113","108.08928686215395"
"2","1.5","300","5","3","3","1","0","0","0","2.0423208238652526","105.77353777386648"
"3","1.5","300","5","3","3","1","1","244","1.72","2.042388039291004","108.74208297719245"
"4","1.5","300","5","3","3","1","3","253","1.6866666666666668","1.8930267141014925","99.61725728812664"
"1","1.5","300","5","3","3","1","3","244","1.7066666666666668","1.9783653559169385","108.60976294756406"
"3","1.5","300","5","3","3","1","2","248","1.82","2.043740755542195","108.7429885879001"
"3","1.5","300","5","3","3","1","3","244","1.84","2.090952727730009","109.27040471749821"
"1","1.5","300","5","3","3","1","4","259","1.8133333333333332","1.9864613276875707","108.736756868256"
"3","1.5","300","5","3","3","1","4","242","1.8266666666666667","2.074120836853507","109.6470956894148"
"4","1.5","300","5","3","3","1","4","260","1.7666666666666666","2.0396158607380612","99.1651304024181"
"1","1.5","300","5","3","3","1","5","249","1.7333333333333334","1.98189305929426","109.28666540208884"
"4","1.5","300","5","3","3","1","5","256","1.7933333333333332","2.049451547142843","99.06043881312404"
"1","1.5","300","5","3","3","1","6","253","1.8666666666666667","1.9911478080860243","109.83255829093432"
"4","1.5","300","5","3","3","1","6","245","1.7266666666666666","1.9696272312667502","98.86510552705688"
"3","1.5","300","5","3","3","1","5","238","1.72","2.108452982361354","109.85098796254194"
"1","1.5","300","5","3","3","1","7","251","1.8466666666666667","2.0443339528456645","110.15695909312883"
"4","1.5","300","5","3","3","1","7","257","1.86","1.9365859478372538","98.70320905654131"
"3","1.5","300","5","3","3","1","6","240","1.6533333333333333","2.0526114100466084","109.6511762659232"
"1","1.5","300","5","3","3","1","8","252","1.7733333333333334","2.076063113600186","109.79370757885594"
