"BehaviorSpace results (NetLogo 5.3)"
"Simple Birth Rates.nlogo"
"experiment"
"02/10/2016 23:23:08:610 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"2","1000","2","2.1","140","140"
"3","1000","2","2.1","165","165"
"4","1000","2","2.1","183","183"
"6","1000","2","2.1","112","112"
"7","1000","2","2.1","102","102"
"5","1000","2","2.1","165","165"
"9","1000","2","2.1","118","118"
"10","1000","2","2.1","149","149"
"8","1000","2","2.1","187","187"
"11","1000","2","2.2","124","124"
"13","1000","2","2.2","91","91"
"12","1000","2","2.2","101","101"
"1","1000","2","2.1","245","245"
"14","1000","2","2.2","67","67"
"16","1000","2","2.2","87","87"
"18","1000","2","2.2","77","77"
"15","1000","2","2.2","182","182"
"17","1000","2","2.2","132","132"
"19","1000","2","2.2","119","119"
"21","1000","2","2.3","70","70"
"20","1000","2","2.2","106","106"
"22","1000","2","2.3","48","48"
"23","1000","2","2.3","62","62"
"25","1000","2","2.3","46","46"
"26","1000","2","2.3","46","46"
"24","1000","2","2.3","61","61"
"27","1000","2","2.3","52","52"
"28","1000","2","2.3","69","69"
"30","1000","2","2.3","57","57"
"31","1000","2","2.4","46","46"
"29","1000","2","2.3","69","69"
"33","1000","2","2.4","36","36"
"32","1000","2","2.4","40","40"
"34","1000","2","2.4","60","60"
"35","1000","2","2.4","58","58"
"37","1000","2","2.4","57","57"
"36","1000","2","2.4","74","74"
"39","1000","2","2.4","35","35"
"38","1000","2","2.4","58","58"
"40","1000","2","2.4","47","47"
"42","1000","2","2.5","37","37"
"43","1000","2","2.5","34","34"
"41","1000","2","2.5","51","51"
"44","1000","2","2.5","38","38"
"46","1000","2","2.5","33","33"
"47","1000","2","2.5","37","37"
"45","1000","2","2.5","38","38"
"48","1000","2","2.5","37","37"
"49","1000","2","2.5","39","39"
"51","1000","2","2.6","25","25"
"50","1000","2","2.5","44","44"
"52","1000","2","2.6","31","31"
"53","1000","2","2.6","34","34"
"55","1000","2","2.6","26","26"
"54","1000","2","2.6","33","33"
"56","1000","2","2.6","42","42"
"58","1000","2","2.6","31","31"
"57","1000","2","2.6","43","43"
"59","1000","2","2.6","29","29"
"60","1000","2","2.6","30","30"
"61","1000","2","2.7","26","26"
"62","1000","2","2.7","34","34"
"63","1000","2","2.7","22","22"
"64","1000","2","2.7","28","28"
"65","1000","2","2.7","29","29"
"67","1000","2","2.7","29","29"
"68","1000","2","2.7","28","28"
"66","1000","2","2.7","29","29"
"69","1000","2","2.7","28","28"
"71","1000","2","2.8","20","20"
"72","1000","2","2.8","29","29"
"70","1000","2","2.7","36","36"
"73","1000","2","2.8","28","28"
"74","1000","2","2.8","22","22"
"75","1000","2","2.8","32","32"
"76","1000","2","2.8","21","21"
"78","1000","2","2.8","24","24"
"77","1000","2","2.8","29","29"
"79","1000","2","2.8","28","28"
"82","1000","2","2.9","26","26"
"81","1000","2","2.9","28","28"
"80","1000","2","2.8","29","29"
"83","1000","2","2.9","17","17"
"84","1000","2","2.9","26","26"
"85","1000","2","2.9","26","26"
"86","1000","2","2.9","28","28"
"87","1000","2","2.9","28","28"
"88","1000","2","2.9","22","22"
"89","1000","2","2.9","17","17"
"91","1000","2","3","24","24"
"90","1000","2","2.9","20","20"
"92","1000","2","3","23","23"
"93","1000","2","3","19","19"
"95","1000","2","3","26","26"
"96","1000","2","3","28","28"
"97","1000","2","3","25","25"
"94","1000","2","3","43","43"
"99","1000","2","3","20","20"
"101","1000","2","3.1","20","20"
"100","1000","2","3","25","25"
"98","1000","2","3","25","25"
"102","1000","2","3.1","21","21"
"103","1000","2","3.1","26","26"
"104","1000","2","3.1","25","25"
"105","1000","2","3.1","25","25"
"106","1000","2","3.1","22","22"
"108","1000","2","3.1","23","23"
"110","1000","2","3.1","15","15"
"107","1000","2","3.1","27","27"
"109","1000","2","3.1","19","19"
"111","1000","2","3.2","19","19"
"113","1000","2","3.2","18","18"
"114","1000","2","3.2","14","14"
"112","1000","2","3.2","24","24"
"115","1000","2","3.2","20","20"
"116","1000","2","3.2","20","20"
"118","1000","2","3.2","22","22"
"117","1000","2","3.2","27","27"
"119","1000","2","3.2","22","22"
"120","1000","2","3.2","21","21"
"121","1000","2","3.3","17","17"
"123","1000","2","3.3","22","22"
"122","1000","2","3.3","22","22"
"124","1000","2","3.3","17","17"
"125","1000","2","3.3","17","17"
"126","1000","2","3.3","18","18"
"128","1000","2","3.3","19","19"
"129","1000","2","3.3","17","17"
"127","1000","2","3.3","25","25"
"130","1000","2","3.3","19","19"
"132","1000","2","3.4","17","17"
"131","1000","2","3.4","20","20"
"133","1000","2","3.4","17","17"
"135","1000","2","3.4","17","17"
"134","1000","2","3.4","18","18"
"136","1000","2","3.4","18","18"
"137","1000","2","3.4","15","15"
"138","1000","2","3.4","19","19"
"139","1000","2","3.4","20","20"
"140","1000","2","3.4","21","21"
"141","1000","2","3.5","15","15"
"142","1000","2","3.5","15","15"
"143","1000","2","3.5","17","17"
"144","1000","2","3.5","18","18"
"145","1000","2","3.5","15","15"
"146","1000","2","3.5","15","15"
"147","1000","2","3.5","15","15"
"148","1000","2","3.5","16","16"
"149","1000","2","3.5","15","15"
"150","1000","2","3.5","17","17"
"151","1000","2","3.6","17","17"
"153","1000","2","3.6","15","15"
"152","1000","2","3.6","16","16"
"154","1000","2","3.6","16","16"
"155","1000","2","3.6","15","15"
"157","1000","2","3.6","18","18"
"156","1000","2","3.6","21","21"
"159","1000","2","3.6","15","15"
"158","1000","2","3.6","22","22"
"160","1000","2","3.6","20","20"
"161","1000","2","3.7","15","15"
"162","1000","2","3.7","17","17"
"163","1000","2","3.7","17","17"
"164","1000","2","3.7","14","14"
"165","1000","2","3.7","14","14"
"167","1000","2","3.7","14","14"
"166","1000","2","3.7","25","25"
"169","1000","2","3.7","15","15"
"170","1000","2","3.7","14","14"
"168","1000","2","3.7","20","20"
"171","1000","2","3.8","16","16"
"172","1000","2","3.8","18","18"
"173","1000","2","3.8","19","19"
"174","1000","2","3.8","16","16"
"175","1000","2","3.8","15","15"
"177","1000","2","3.8","16","16"
"176","1000","2","3.8","17","17"
"179","1000","2","3.8","13","13"
"178","1000","2","3.8","17","17"
"180","1000","2","3.8","18","18"
"181","1000","2","3.9","16","16"
"183","1000","2","3.9","15","15"
"182","1000","2","3.9","14","14"
"187","1000","2","3.9","11","11"
"184","1000","2","3.9","15","15"
"186","1000","2","3.9","18","18"
"185","1000","2","3.9","18","18"
"188","1000","2","3.9","13","13"
"189","1000","2","3.9","18","18"
"191","1000","2","4","13","13"
"190","1000","2","3.9","18","18"
"192","1000","2","4","16","16"
"193","1000","2","4","15","15"
"194","1000","2","4","15","15"
"195","1000","2","4","14","14"
"196","1000","2","4","14","14"
"197","1000","2","4","10","10"
"198","1000","2","4","11","11"
"199","1000","2","4","10","10"
"200","1000","2","4","14","14"
"201","1000","2","4.1","14","14"
"202","1000","2","4.1","13","13"
"203","1000","2","4.1","14","14"
"204","1000","2","4.1","12","12"
"205","1000","2","4.1","17","17"
"207","1000","2","4.1","12","12"
"206","1000","2","4.1","16","16"
"208","1000","2","4.1","12","12"
"209","1000","2","4.1","12","12"
"210","1000","2","4.1","15","15"
"211","1000","2","4.2","13","13"
"212","1000","2","4.2","14","14"
"213","1000","2","4.2","14","14"
"214","1000","2","4.2","13","13"
"215","1000","2","4.2","12","12"
"217","1000","2","4.2","11","11"
"216","1000","2","4.2","14","14"
"218","1000","2","4.2","17","17"
"220","1000","2","4.2","10","10"
"221","1000","2","4.3","11","11"
"219","1000","2","4.2","15","15"
"222","1000","2","4.3","14","14"
"223","1000","2","4.3","15","15"
"224","1000","2","4.3","14","14"
"225","1000","2","4.3","13","13"
"228","1000","2","4.3","10","10"
"229","1000","2","4.3","12","12"
"226","1000","2","4.3","17","17"
"227","1000","2","4.3","19","19"
"230","1000","2","4.3","12","12"
"231","1000","2","4.4","12","12"
"232","1000","2","4.4","12","12"
"234","1000","2","4.4","12","12"
"233","1000","2","4.4","17","17"
"236","1000","2","4.4","12","12"
"235","1000","2","4.4","11","11"
"238","1000","2","4.4","11","11"
"237","1000","2","4.4","15","15"
"240","1000","2","4.4","12","12"
"239","1000","2","4.4","15","15"
"241","1000","2","4.5","11","11"
"242","1000","2","4.5","14","14"
"244","1000","2","4.5","12","12"
"243","1000","2","4.5","11","11"
"245","1000","2","4.5","14","14"
"246","1000","2","4.5","9","9"
"249","1000","2","4.5","9","9"
"247","1000","2","4.5","12","12"
"248","1000","2","4.5","11","11"
"250","1000","2","4.5","9","9"
"252","1000","2","4.6","10","10"
"251","1000","2","4.6","15","15"
"254","1000","2","4.6","12","12"
"253","1000","2","4.6","15","15"
"255","1000","2","4.6","9","9"
"257","1000","2","4.6","11","11"
"256","1000","2","4.6","14","14"
"259","1000","2","4.6","10","10"
"258","1000","2","4.6","10","10"
"260","1000","2","4.6","11","11"
"261","1000","2","4.7","13","13"
"263","1000","2","4.7","11","11"
"262","1000","2","4.7","12","12"
"264","1000","2","4.7","14","14"
"265","1000","2","4.7","14","14"
"266","1000","2","4.7","12","12"
"267","1000","2","4.7","14","14"
"268","1000","2","4.7","10","10"
"269","1000","2","4.7","9","9"
"270","1000","2","4.7","10","10"
"271","1000","2","4.8","14","14"
"272","1000","2","4.8","13","13"
"273","1000","2","4.8","12","12"
"274","1000","2","4.8","12","12"
"275","1000","2","4.8","10","10"
"277","1000","2","4.8","11","11"
"276","1000","2","4.8","12","12"
"279","1000","2","4.8","10","10"
"278","1000","2","4.8","11","11"
"280","1000","2","4.8","10","10"
"281","1000","2","4.9","11","11"
"283","1000","2","4.9","9","9"
"282","1000","2","4.9","11","11"
"284","1000","2","4.9","10","10"
"285","1000","2","4.9","10","10"
"286","1000","2","4.9","10","10"
"287","1000","2","4.9","12","12"
"289","1000","2","4.9","10","10"
"288","1000","2","4.9","14","14"
"290","1000","2","4.9","9","9"
"291","1000","2","5","12","12"
"292","1000","2","5","9","9"
"293","1000","2","5","12","12"
"294","1000","2","5","11","11"
"295","1000","2","5","9","9"
"297","1000","2","5","11","11"
"296","1000","2","5","17","17"
"298","1000","2","5","13","13"
"299","1000","2","5","14","14"
"300","1000","2","5","11","11"
