"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"4","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","61493.260237047085","3688.909843072644","0.03647594315032163"
"3","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","68162.10762209265","3800.05014355077","0.030618970875202538"
"2","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","63674.44250276681","3586.3412380122154","0.035725627353350185"
"6","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","62347.09475165586","3645.9451538668986","0.03373109336014105"
"7","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","63348.37712073783","3868.185819662655","0.0344066574345767"
"5","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","64244.130554311676","3716.131902594818","0.036180591565832206"
"8","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","62853.15562954116","3692.7524621656976","0.03358301294713333"
"10","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","68060.64065240933","3705.179205521781","0.03071787351298277"
"9","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","63619.26125214545","3406.107876792894","0.03146103158669426"
"12","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","57590.01754081892","3508.1523577896905","0.03380898398348308"
"11","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","62400.81419799408","3436.6368762939487","0.031523499940023944"
"13","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","61853.40419458569","3785.326493115112","0.03475583230999915"
"14","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","60007.65827181795","3865.236152797389","0.03659588029804206"
"15","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","74455.547570406","3586.3072010192927","0.03230706567791688"
"16","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","60723.17464538194","3533.473232311583","0.03154393206685198"
"17","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","66936.03139377409","3762.859230835521","0.029156265318860584"
"18","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","62545.37972989236","3414.7368281205245","0.03259583022269746"
"19","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","60122.15988024052","3742.256557448437","0.033919289285563974"
"20","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","66704.47823827184","3840.4710520586586","0.03204201388373977"
"21","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","75794.07482880441","4149.1020088888545","0.03402859285805988"
"22","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","71030.3260984576","4094.1974781283243","0.030422880185127683"
"24","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","68626.5857305299","3987.0151384619953","0.03169801523117368"
"23","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","67807.41429238931","3920.508239971686","0.033929876276317585"
"25","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","72152.92391322329","4021.676942261145","0.03162136858658806"
"27","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","69942.1074302103","4168.3356111057665","0.034287591882418686"
"26","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","66922.42582276027","3896.363733188412","0.03342177445745962"
"28","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","76314.19445309314","4149.820212611195","0.03397227528921563"
"29","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","66568.92568725633","4216.615589924855","0.03060496111199989"
"30","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","69831.55455536446","3857.666351276363","0.031198594829064938"
"31","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","73646.09371167103","4059.6227340776722","0.03203554384783519"
"34","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","73545.27435161047","4201.397914744422","0.03441330927008297"
"32","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","75412.88914241151","3921.8067028930113","0.03255281792911552"
"33","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","71147.28647255826","3942.3353407451923","0.0302790246963695"
"35","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","67653.57275588316","3933.8997274929043","0.029923868003164572"
"36","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","73950.21243955889","4201.343159982484","0.0324383273633081"
"37","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","73109.87797098204","4089.1448576381417","0.03269267684415428"
"38","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","70735.54819253115","3851.135241501472","0.03426727242011604"
"39","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","68983.4040078443","3897.0990650336653","0.03310932008183759"
"40","25","""neighbors""","10","0.01","1","""exp utility""","100","0.55","0.1","""wealth""","24","70325.23318323723","3918.326059073264","0.030873816607044274"
"41","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","76800.28901726418","4413.092756318487","0.03389629093336216"
"43","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","78377.7830530883","4535.309001542124","0.03386775049697748"
"42","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","72208.58714632851","4356.120040176951","0.03218053243047296"
"45","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","86005.37456023213","4583.563953707713","0.031954741589172095"
