"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-risk"
"02/23/2016 04:30:19:519 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"2","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","119380.54486690475","6901.989697149124","0.034414971924958675"
"3","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","121571.74384090978","7618.629772188353","0.03643680719848383"
"4","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","123692.11310164229","7088.554862186267","0.03374206094109453"
"5","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","122076.48085988295","7208.063909276976","0.03449196402753998"
"6","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","119435.75872126665","7497.702222368996","0.03645832277496928"
"7","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","108595.52756690043","7141.000403595423","0.0320352034676449"
"8","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","116092.46514571997","7015.441971214655","0.031503235234181075"
"9","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","116047.380999013","7363.537842547857","0.036712747977842124"
"10","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","138003.22833415252","7543.423701924138","0.029303885197281485"
"11","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","141983.60674486667","7502.771808433936","0.0339527558219189"
"14","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","122462.38225582508","7236.070436922398","0.03597243565924448"
